;1;2;3;4;5;6;7
22,75;22,75;11,375;7,583333333;5,6875;4,55;3,791666667;3,25
23;23;11,5;7,666666667;5,75;4,6;3,833333333;3,285714286
23,25;23,25;11,625;7,75;5,8125;4,65;3,875;3,321428571
23,5;23,5;11,75;7,833333333;5,875;4,7;3,916666667;3,357142857
23,75;23,75;11,875;7,916666667;5,9375;4,75;3,958333333;3,392857143
24;24;12;8;6;4,8;4;3,428571429
24,25;24,25;12,125;8,083333333;6,0625;4,85;4,041666667;3,464285714
24,5;24,5;12,25;8,166666667;6,125;4,9;4,083333333;3,5
24,75;24,75;12,375;8,25;6,1875;4,95;4,125;3,535714286
25;25;12,5;8,333333333;6,25;5;4,166666667;3,571428571
25,25;25,25;12,625;8,416666667;6,3125;5,05;4,208333333;3,607142857
25,5;25,5;12,75;8,5;6,375;5,1;4,25;3,642857143
25,75;25,75;12,875;8,583333333;6,4375;5,15;4,291666667;3,678571429
26;26;13;8,666666667;6,5;5,2;4,333333333;3,714285714
26,25;26,25;13,125;8,75;6,5625;5,25;4,375;3,75
26,5;26,5;13,25;8,833333333;6,625;5,3;4,416666667;3,785714286
26,75;26,75;13,375;8,916666667;6,6875;5,35;4,458333333;3,821428571
27;27;13,5;9;6,75;5,4;4,5;3,857142857
27,25;27,25;13,625;9,083333333;6,8125;5,45;4,541666667;3,892857143
27,5;27,5;13,75;9,166666667;6,875;5,5;4,583333333;3,928571429
27,75;27,75;13,875;9,25;6,9375;5,55;4,625;3,964285714
28;28;14;9,333333333;7;5,6;4,666666667;4
28,25;28,25;14,125;9,416666667;7,0625;5,65;4,708333333;4,035714286
28,5;28,5;14,25;9,5;7,125;5,7;4,75;4,071428571
28,75;28,75;14,375;9,583333333;7,1875;5,75;4,791666667;4,107142857
29;29;14,5;9,666666667;7,25;5,8;4,833333333;4,142857143
29,25;29,25;14,625;9,75;7,3125;5,85;4,875;4,178571429
29,5;29,5;14,75;9,833333333;7,375;5,9;4,916666667;4,214285714
29,75;29,75;14,875;9,916666667;7,4375;5,95;4,958333333;4,25
30;30;15;10;7,5;6;5;4,285714286
